location,segment,date,starttime,endtime,duration
DS-M47,6,2016-09-28,08:44,09:17,32
DS-N08,4,2016-09-28,10:41,11:03,22
DS-D48,15,2016-10-01,01:47,03:39,111
DS-D49,15,2016-10-01,02:20,12:28,608
DS-D10,14,2016-10-01,03:20,03:58,37
DS-D16,14,2016-10-01,03:24,04:01,36
DS-D17,14,2016-10-01,03:27,04:14,47
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-10-01,04:00,06:15,135
"DS-D44,45",15,2016-10-01,04:10,06:12,122
DS-D48,15,2016-10-01,04:11,07:31,200
DS-D43,15,2016-10-01,04:26,06:01,95
DS-D41,15,2016-10-01,04:30,05:59,88
DS-D13,14,2016-10-01,04:55,06:44,108
DS-D12I,14,2016-10-01,05:03,06:13,70
DS-D15,14,2016-10-01,05:06,06:40,94
DS-D07,13,2016-10-01,05:22,06:11,48
DS-D16,14,2016-10-01,05:32,06:10,37
DS-D10,14,2016-10-01,05:36,05:49,12
DS-D48,15,2016-10-01,09:17,09:44,27
DS-D41,15,2016-10-01,09:35,10:16,41
DS-M30,7,2016-10-01,09:36,10:32,56
DS-D10,14,2016-10-01,11:20,12:11,51
DS-D01,13,2016-10-01,11:35,12:17,41
DS-D07,13,2016-10-01,11:39,01:11,92
DS-D07,13,2016-10-01,11:44,12:29,45
DS-D48,15,2016-10-01,11:45,12:41,55
DS-D07,13,2016-10-01,11:45,12:20,34
DS-D15,14,2016-10-01,11:53,12:17,24
DS-D08,14,2016-10-01,11:57,12:45,47
DS-D41,15,2016-10-01,12:06,12:31,24
DS-D17,14,2016-10-01,12:06,12:32,25
"DS-D44,45",15,2016-10-01,12:27,12:51,24
DS-M47,6,2016-10-06,04:41,05:50,68
